SampleID,longitude,latitude,Easting,Northing,class,classnum,subclass,type,Source
Supplemental1236,-106.940317,38.88876921,331714.9211,4306222.616,AlpineGranite,0,,Community,Supplemental
Supplemental1237,-106.940794,38.88858095,331673.1026,4306202.602,AlpineGranite,0,,Community,Supplemental
Supplemental1238,-106.941169,38.88840498,331640.1603,4306183.765,AlpineGranite,0,,Community,Supplemental
Supplemental1239,-106.937618,38.88907925,331949.7572,4306252.049,AlpineGranite,0,,Community,Supplemental
Supplemental1240,-106.93724,38.88915447,331982.7212,4306259.701,AlpineGranite,0,,Community,Supplemental
Supplemental1241,-106.937142,38.88907123,331991.0253,4306250.282,AlpineGranite,0,,Community,Supplemental
Supplemental1242,-106.93769,38.88923717,331943.8844,4306269.708,AlpineGranite,0,,Community,Supplemental
Supplemental1243,-106.936698,38.8889513,332029.2541,4306236.154,AlpineGranite,0,,Community,Supplemental
Supplemental1244,-106.93614,38.88890221,332077.5381,4306229.679,AlpineGranite,0,,Community,Supplemental
Supplemental1245,-106.935775,38.89070631,332113.4459,4306429.231,AlpineGranite,0,,Community,Supplemental
Supplemental1246,-106.935915,38.89109649,332102.2219,4306472.791,AlpineGranite,0,,Community,Supplemental
Supplemental1247,-106.936408,38.89127924,332059.8922,4306493.981,AlpineGranite,0,,Community,Supplemental
Supplemental1248,-106.937786,38.89151098,331940.9181,4306522.238,AlpineGranite,0,,Community,Supplemental
Supplemental1249,-106.938124,38.89147354,331911.5135,4306518.706,AlpineGranite,0,,Community,Supplemental
Supplemental1250,-106.938494,38.89159999,331879.72,4306533.421,AlpineGranite,0,,Community,Supplemental
Supplemental1251,-106.940479,38.89121695,331706.648,4306494.571,AlpineGranite,0,,Community,Supplemental
Supplemental1252,-106.940442,38.89136607,331710.2092,4306511.053,AlpineGranite,0,,Community,Supplemental
Supplemental1253,-106.940342,38.891198,331718.486,4306492.215,AlpineGranite,0,,Community,Supplemental
Supplemental263,-106.94053,38.88350076,331684.0092,4305638.303,AlpineGranite,0,,Community,Supplemental
Supplemental264,-106.93982,38.88371351,331746.0996,4305660.605,AlpineGranite,0,,Community,Supplemental
Supplemental265,-106.93959,38.88335257,331765.1991,4305620.122,AlpineGranite,0,,Community,Supplemental
Supplemental266,-106.940856,38.88265657,331653.7376,4305545.214,AlpineGranite,0,,Community,Supplemental
Supplemental267,-106.941498,38.88322692,331599.3941,4305609.698,AlpineGranite,0,,Community,Supplemental
Supplemental268,-106.941055,38.8838153,331639.2111,4305674.18,AlpineGranite,0,,Community,Supplemental
Supplemental269,-106.940963,38.88410735,331647.8811,4305706.423,AlpineGranite,0,,Community,Supplemental
Supplemental270,-106.939732,38.88427852,331755.0662,4305723.149,AlpineGranite,0,,Community,Supplemental
Supplemental271,-106.93924,38.88385421,331796.743,4305675.15,AlpineGranite,0,,Community,Supplemental
Supplemental272,-106.939367,38.88266821,331782.9287,4305543.759,AlpineGranite,0,,Community,Supplemental
Supplemental273,-106.938354,38.8828423,331871.2121,4305561.213,AlpineGranite,0,,Community,Supplemental
Supplemental274,-106.94182,38.8836167,331572.383,4305653.551,AlpineGranite,0,,Community,Supplemental
Supplemental275,-106.941565,38.88359892,331594.4607,4305651.107,AlpineGranite,0,,Community,Supplemental
Supplemental276,-106.941752,38.88372239,331578.5312,4305665.155,AlpineGranite,0,,Community,Supplemental
Supplemental277,-106.941689,38.88339322,331583.2186,4305628.507,AlpineGranite,0,,Community,Supplemental
Supplemental278,-106.941286,38.88341014,331618.2166,4305629.641,AlpineGranite,0,,Community,Supplemental
Supplemental279,-106.941167,38.88339718,331628.5085,4305627.983,AlpineGranite,0,,Community,Supplemental
Supplemental280,-106.940304,38.88983853,331718.5728,4306341.268,AlpineGranite,0,,Community,Supplemental
Supplemental281,-106.940283,38.8899288,331720.6073,4306351.247,AlpineGranite,0,,Community,Supplemental
Supplemental282,-106.940241,38.88973777,331723.7993,4306329.969,AlpineGranite,0,,Community,Supplemental
Supplemental283,-106.940188,38.88966399,331728.2222,4306321.683,AlpineGranite,0,,Community,Supplemental
Supplemental284,-106.940403,38.88962394,331709.4793,4306317.635,AlpineGranite,0,,Community,Supplemental
Supplemental285,-106.940399,38.88970206,331710.0107,4306326.297,AlpineGranite,0,,Community,Supplemental
Supplemental286,-106.940155,38.88982235,331731.4583,4306339.197,AlpineGranite,0,,Community,Supplemental
Supplemental287,-106.938643,38.88974227,331862.4151,4306327.522,AlpineGranite,0,,Community,Supplemental
Supplemental288,-106.938576,38.88960255,331867.8969,4306311.892,AlpineGranite,0,,Community,Supplemental
Supplemental289,-106.938451,38.88963347,331878.8119,4306315.093,AlpineGranite,0,,Community,Supplemental
Supplemental290,-106.938264,38.88956191,331894.8629,4306306.806,AlpineGranite,0,,Community,Supplemental
Supplemental291,-106.938184,38.88950216,331901.661,4306300.028,AlpineGranite,0,,Community,Supplemental
Supplemental292,-107.009063,38.95490168,325913.7753,4313691.342,AlpineGranite,0,,Community,Supplemental
Supplemental293,-107.009023,38.95488888,325917.2103,4313689.845,AlpineGranite,0,,Community,Supplemental
Supplemental294,-107.00925,38.95505754,325897.9518,4313708.997,AlpineGranite,0,,Community,Supplemental
Supplemental295,-107.009585,38.95485668,325868.4297,4313687.345,AlpineGranite,0,,Community,Supplemental
Supplemental296,-107.009712,38.95484248,325857.3894,4313686.012,AlpineGranite,0,,Community,Supplemental
Supplemental297,-107.009763,38.9550607,325853.5041,4313710.329,AlpineGranite,0,,Community,Supplemental
Supplemental298,-107.008896,38.95479201,325927.9788,4313678.851,AlpineGranite,0,,Community,Supplemental
Supplemental299,-107.008646,38.95474228,325949.5216,4313672.854,AlpineGranite,0,,Community,Supplemental
Supplemental300,-107.008788,38.9549717,325937.7776,4313698.587,AlpineGranite,0,,Community,Supplemental
Supplemental301,-107.009102,38.95442754,325909.2351,4313638.794,AlpineGranite,0,,Community,Supplemental
Supplemental302,-107.008204,38.95468762,325987.6908,4313665.943,AlpineGranite,0,,Community,Supplemental
Supplemental303,-107.008165,38.95494341,325991.6963,4313694.257,AlpineGranite,0,,Community,Supplemental
Supplemental304,-107.008711,38.95536922,325945.4232,4313742.559,AlpineGranite,0,,Community,Supplemental
Supplemental305,-107.008547,38.95546809,325959.8769,4313753.218,AlpineGranite,0,,Community,Supplemental
Supplemental306,-107.008023,38.95529402,326004.8595,4313732.898,AlpineGranite,0,,Community,Supplemental
Supplemental307,-107.010018,38.95514862,325831.6217,4313720.574,AlpineGranite,0,,Community,Supplemental
Supplemental308,-107.010179,38.95514284,325817.6557,4313720.24,AlpineGranite,0,,Community,Supplemental
Supplemental309,-107.010244,38.95525278,325812.2922,4313732.566,AlpineGranite,0,,Community,Supplemental
Supplemental310,-107.010095,38.95490416,325824.3504,4313693.59,AlpineGranite,0,,Community,Supplemental
Supplemental311,-107.01066,38.95560717,325777.1108,4313772.694,AlpineGranite,0,,Community,Supplemental
Supplemental312,-107.01053,38.95547242,325788.0461,4313757.49,AlpineGranite,0,,Community,Supplemental
Supplemental313,-107.010609,38.95544128,325781.1239,4313754.185,AlpineGranite,0,,Community,Supplemental
Supplemental314,-107.010665,38.95539366,325776.1545,4313749.007,AlpineGranite,0,,Community,Supplemental
Supplemental315,-107.010567,38.9552673,325784.3373,4313734.795,AlpineGranite,0,,Community,Supplemental
Supplemental316,-107.010782,38.95531918,325765.8331,4313740.965,AlpineGranite,0,,Community,Supplemental
Supplemental317,-107.011226,38.95522815,325727.1341,4313731.711,AlpineGranite,0,,Community,Supplemental
Supplemental318,-107.011273,38.95552216,325723.7816,4313764.432,AlpineGranite,0,,Community,Supplemental
Supplemental319,-107.009497,38.96256303,325894.9243,4314542.464,AlpineGranite,0,,Community,Supplemental
Supplemental320,-107.009648,38.96253109,325881.7621,4314539.208,AlpineGranite,0,,Community,Supplemental
Supplemental321,-107.009813,38.96277322,325868.0581,4314566.396,AlpineGranite,0,,Community,Supplemental
Supplemental322,-107.009363,38.96288805,325907.331,4314578.28,AlpineGranite,0,,Community,Supplemental
Supplemental323,-107.009147,38.96302818,325926.3901,4314593.42,AlpineGranite,0,,Community,Supplemental
Supplemental324,-107.009212,38.96311069,325920.96,4314602.701,AlpineGranite,0,,Community,Supplemental
Supplemental325,-107.008964,38.9631883,325942.6387,4314610.841,AlpineGranite,0,,Community,Supplemental
Supplemental326,-107.009835,38.96242226,325865.2923,4314527.487,AlpineGranite,0,,Community,Supplemental
Supplemental327,-107.008995,38.96327285,325940.1596,4314620.284,AlpineGranite,0,,Community,Supplemental
Supplemental328,-107.008873,38.96260606,325949.0983,4314546.047,AlpineGranite,0,,Community,Supplemental
Supplemental329,-107.008472,38.96265843,325983.9726,4314551.093,AlpineGranite,0,,Community,Supplemental
Supplemental330,-107.010268,38.96265536,325828.3443,4314554.186,AlpineGranite,0,,Community,Supplemental
Supplemental331,-107.010355,38.96246758,325820.3459,4314533.511,AlpineGranite,0,,Community,Supplemental
Supplemental332,-107.01076,38.96238578,325785.0527,4314525.207,AlpineGranite,0,,Community,Supplemental
Supplemental1011,-107.069918,38.8853682,320464.9561,4306092.241,AlpineSandstone,1,,Community,Supplemental
Supplemental1012,-107.070135,38.88555306,320446.5983,4306113.185,AlpineSandstone,1,,Community,Supplemental
Supplemental1013,-107.070408,38.8861261,320424.3608,4306177.32,AlpineSandstone,1,,Community,Supplemental
Supplemental1014,-107.070427,38.88626729,320423.0683,4306193.028,AlpineSandstone,1,,Community,Supplemental
Supplemental1015,-107.070017,38.88667555,320459.6608,4306237.531,AlpineSandstone,1,,Community,Supplemental
Supplemental1016,-107.070765,38.88645,320394.2097,4306213.971,AlpineSandstone,1,,Community,Supplemental
Supplemental1017,-107.070959,38.8863758,320377.1948,4306206.118,AlpineSandstone,1,,Community,Supplemental
Supplemental1018,-107.070424,38.88725463,320425.8155,4306302.601,AlpineSandstone,1,,Community,Supplemental
Supplemental1019,-107.070035,38.88726725,320459.5895,4306303.236,AlpineSandstone,1,,Community,Supplemental
Supplemental1020,-107.068999,38.88706498,320548.9442,4306278.749,AlpineSandstone,1,,Community,Supplemental
Supplemental1021,-107.068914,38.88702637,320556.22,4306274.296,AlpineSandstone,1,,Community,Supplemental
Supplemental1022,-107.068688,38.88720803,320576.2808,4306294.013,AlpineSandstone,1,,Community,Supplemental
Supplemental1023,-107.068659,38.88732891,320579.1005,4306307.372,AlpineSandstone,1,,Community,Supplemental
Supplemental1024,-107.068247,38.88728176,320614.7191,4306301.329,AlpineSandstone,1,,Community,Supplemental
Supplemental1025,-107.069247,38.88576251,320524.1535,4306134.683,AlpineSandstone,1,,Community,Supplemental
Supplemental1026,-107.069432,38.88580222,320508.206,4306139.454,AlpineSandstone,1,,Community,Supplemental
Supplemental1027,-107.068532,38.88600729,320586.7907,4306160.443,AlpineSandstone,1,,Community,Supplemental
Supplemental1028,-107.068361,38.88617366,320602.0423,4306178.571,AlpineSandstone,1,,Community,Supplemental
Supplemental1029,-107.068207,38.88617638,320615.4075,4306178.57,AlpineSandstone,1,,Community,Supplemental
Supplemental1030,-107.068063,38.88600128,320627.4579,4306158.854,AlpineSandstone,1,,Community,Supplemental
Supplemental1031,-107.067922,38.88621295,320640.2211,4306182.068,AlpineSandstone,1,,Community,Supplemental
Supplemental1032,-107.067947,38.88643029,320638.5993,4306206.239,AlpineSandstone,1,,Community,Supplemental
Supplemental1033,-107.06894,38.88552153,320550.1771,4306107.334,AlpineSandstone,1,,Community,Supplemental
Supplemental1034,-107.067419,38.88643105,320684.401,4306205.285,AlpineSandstone,1,,Community,Supplemental
Supplemental1035,-107.072481,38.8853842,320242.673,4306099.064,AlpineSandstone,1,,Community,Supplemental
Supplemental1036,-107.071627,38.88501539,320315.8224,4306056.449,AlpineSandstone,1,,Community,Supplemental
Supplemental1037,-106.94933,38.96859979,331122.6322,4315099.148,AlpineSandstone,1,,Community,Supplemental
Supplemental1038,-106.950025,38.96845978,331062.0843,4315084.899,AlpineSandstone,1,,Community,Supplemental
Supplemental1039,-106.949726,38.96859707,331088.3161,4315099.581,AlpineSandstone,1,,Community,Supplemental
Supplemental1040,-106.94987,38.96828918,331075.1082,4315065.677,AlpineSandstone,1,,Community,Supplemental
Supplemental1041,-106.949091,38.96907818,331144.4757,4315151.799,AlpineSandstone,1,,Community,Supplemental
Supplemental1042,-106.948193,38.96813112,331220.0299,4315045.026,AlpineSandstone,1,,Community,Supplemental
Supplemental1043,-106.948076,38.9681436,331230.1965,4315046.194,AlpineSandstone,1,,Community,Supplemental
Supplemental1044,-106.948298,38.96769046,331209.8863,4314996.314,AlpineSandstone,1,,Community,Supplemental
Supplemental1045,-106.948622,38.96720051,331180.6509,4314942.538,AlpineSandstone,1,,Community,Supplemental
Supplemental1046,-106.949456,38.96710582,331108.1663,4314933.575,AlpineSandstone,1,,Community,Supplemental
Supplemental1047,-106.949795,38.96719143,331078.9979,4314943.705,AlpineSandstone,1,,Community,Supplemental
Supplemental1048,-106.950959,38.96749149,330978.8597,4314979.167,AlpineSandstone,1,,Community,Supplemental
Supplemental1049,-106.951308,38.96741894,330948.4491,4314971.763,AlpineSandstone,1,,Community,Supplemental
Supplemental1050,-106.950785,38.96769805,330994.4264,4315001.769,AlpineSandstone,1,,Community,Supplemental
Supplemental1051,-106.950606,38.96771861,331009.9842,4315003.719,AlpineSandstone,1,,Community,Supplemental
Supplemental1052,-106.950529,38.96803941,331017.4181,4315039.179,AlpineSandstone,1,,Community,Supplemental
Supplemental1053,-106.949265,38.96869957,331128.5009,4315110.102,AlpineSandstone,1,,Community,Supplemental
Supplemental1054,-106.947991,38.96846806,331238.3313,4315082.046,AlpineSandstone,1,,Community,Supplemental
Supplemental1055,-106.947623,38.9678492,331268.7462,4315012.681,AlpineSandstone,1,,Community,Supplemental
Supplemental1056,-106.94752,38.96754895,331276.9577,4314979.167,AlpineSandstone,1,,Community,Supplemental
Supplemental1057,-106.947383,38.96744943,331288.5915,4314967.868,AlpineSandstone,1,,Community,Supplemental
Supplemental1058,-106.947167,38.96713701,331306.5648,4314932.794,AlpineSandstone,1,,Community,Supplemental
Supplemental1059,-106.945919,38.96887832,331418.8238,4315123.741,AlpineSandstone,1,,Community,Supplemental
Supplemental1060,-106.945767,38.96889491,331432.0324,4315125.3,AlpineSandstone,1,,Community,Supplemental
Supplemental1061,-106.945896,38.96932815,331421.8832,4315173.622,AlpineSandstone,1,,Community,Supplemental
Supplemental1062,-106.945796,38.96963178,331431.2672,4315207.135,AlpineSandstone,1,,Community,Supplemental
Supplemental1063,-106.945681,38.96837669,331438.2547,4315067.627,AlpineSandstone,1,,Community,Supplemental
Supplemental1064,-106.945831,38.96697672,331421.9389,4314912.531,AlpineSandstone,1,,Community,Supplemental
Supplemental1065,-106.945585,38.96650331,331442.1306,4314859.534,AlpineSandstone,1,,Community,Supplemental
Supplemental1066,-106.944427,38.96660688,331542.7087,4314868.886,AlpineSandstone,1,,Community,Supplemental
Supplemental1067,-106.945549,38.96617386,331444.4686,4314822.904,AlpineSandstone,1,,Community,Supplemental
Supplemental1068,-106.94464,38.96420166,331518.5541,4314602.339,AlpineSandstone,1,,Community,Supplemental
Supplemental1069,-106.946095,38.96542739,331395.391,4314741.069,AlpineSandstone,1,,Community,Supplemental
Supplemental1070,-106.942843,38.96559395,331677.553,4314753.538,AlpineSandstone,1,,Community,Supplemental
Supplemental1071,-106.945675,38.96851021,331439.0912,4315082.435,AlpineSandstone,1,,Community,Supplemental
Supplemental930,-107.08908,38.93704354,318934.1822,4311865.322,AlpineSandstone,1,,Community,Supplemental
Supplemental931,-107.089467,38.93662101,318899.5615,4311819.196,AlpineSandstone,1,,Community,Supplemental
Supplemental932,-107.089114,38.9365612,318930.0078,4311811.857,AlpineSandstone,1,,Community,Supplemental
Supplemental933,-107.090218,38.93665479,318834.5499,4311824.438,AlpineSandstone,1,,Community,Supplemental
Supplemental934,-107.091753,38.93785523,318704.5526,4311960.723,AlpineSandstone,1,,Community,Supplemental
Supplemental935,-107.092271,38.93863936,318661.6507,4312048.781,AlpineSandstone,1,,Community,Supplemental
Supplemental936,-107.092661,38.93872683,318628.0689,4312059.265,AlpineSandstone,1,,Community,Supplemental
Supplemental937,-107.093218,38.93916079,318580.8953,4312108.537,AlpineSandstone,1,,Community,Supplemental
Supplemental938,-107.094575,38.93924034,318463.476,4312120.069,AlpineSandstone,1,,Community,Supplemental
Supplemental939,-107.095165,38.93955091,318413.1285,4312155.713,AlpineSandstone,1,,Community,Supplemental
Supplemental940,-107.093605,38.93999451,318549.4768,4312201.839,AlpineSandstone,1,,Community,Supplemental
Supplemental941,-107.092492,38.9407796,318647.9494,4312286.757,AlpineSandstone,1,,Community,Supplemental
Supplemental942,-107.091528,38.94092911,318731.8861,4312301.432,AlpineSandstone,1,,Community,Supplemental
Supplemental943,-107.09097,38.94084467,318780.0362,4312290.95,AlpineSandstone,1,,Community,Supplemental
Supplemental944,-107.090927,38.94062818,318783.2119,4312266.837,AlpineSandstone,1,,Community,Supplemental
Supplemental945,-107.089085,38.93926321,318939.3965,4312111.683,AlpineSandstone,1,,Community,Supplemental
Supplemental946,-107.087109,38.93623814,319102.9825,4311772.019,AlpineSandstone,1,,Community,Supplemental
Supplemental947,-107.087517,38.93530516,319065.2444,4311669.282,AlpineSandstone,1,,Community,Supplemental
Supplemental948,-107.08943,38.93535594,318899.5495,4311678.718,AlpineSandstone,1,,Community,Supplemental
Supplemental949,-107.090043,38.93564722,318847.1544,4311712.265,AlpineSandstone,1,,Community,Supplemental
Supplemental950,-107.090607,38.93591104,318798.9372,4311742.666,AlpineSandstone,1,,Community,Supplemental
Supplemental951,-107.091004,38.93584725,318764.362,4311736.376,AlpineSandstone,1,,Community,Supplemental
Supplemental952,-107.092199,38.93660038,318662.6959,4311822.34,AlpineSandstone,1,,Community,Supplemental
Supplemental953,-107.092169,38.93720545,318666.8381,4311889.435,AlpineSandstone,1,,Community,Supplemental
Supplemental954,-107.093044,38.93736922,318591.4101,4311909.352,AlpineSandstone,1,,Community,Supplemental
Supplemental955,-107.09268,38.93813142,318624.9044,4311993.221,AlpineSandstone,1,,Community,Supplemental
Supplemental956,-107.093649,38.93859576,318542.0962,4312046.685,AlpineSandstone,1,,Community,Supplemental
Supplemental957,-107.094113,38.93874801,318502.2655,4312064.507,AlpineSandstone,1,,Community,Supplemental
Supplemental958,-107.092345,38.93950705,318657.4477,4312145.229,AlpineSandstone,1,,Community,Supplemental
Supplemental959,-107.091337,38.93975183,318745.4423,4312170.391,AlpineSandstone,1,,Community,Supplemental
Supplemental960,-107.092289,38.94088713,318665.8187,4312298.287,AlpineSandstone,1,,Community,Supplemental
Supplemental961,-107.091631,38.9415318,318724.4939,4312368.527,AlpineSandstone,1,,Community,Supplemental
Supplemental962,-107.092006,38.9415534,318692.0457,4312371.67,AlpineSandstone,1,,Community,Supplemental
Supplemental963,-107.087347,38.93608276,319081.9572,4311755.247,AlpineSandstone,1,,Community,Supplemental
Supplemental964,-107.096179,38.91508442,318262.7877,4309442.31,AlpineSandstone,1,,Community,Supplemental
Supplemental965,-107.09684,38.91534235,318206.1324,4309472.254,AlpineSandstone,1,,Community,Supplemental
Supplemental966,-107.096663,38.91561533,318222.1764,4309502.198,AlpineSandstone,1,,Community,Supplemental
Supplemental967,-107.095896,38.91302738,318282.0777,4309213.445,AlpineSandstone,1,,Community,Supplemental
Supplemental968,-107.09491,38.91345944,318368.6756,4309259.432,AlpineSandstone,1,,Community,Supplemental
Supplemental969,-107.094424,38.91372833,318411.5019,4309288.307,AlpineSandstone,1,,Community,Supplemental
Supplemental970,-107.094985,38.91307265,318361.186,4309216.653,AlpineSandstone,1,,Community,Supplemental
Supplemental971,-107.095745,38.91250975,318293.8504,4309155.694,AlpineSandstone,1,,Community,Supplemental
Supplemental972,-107.096131,38.91260882,318260.6328,4309167.459,AlpineSandstone,1,,Community,Supplemental
Supplemental973,-107.091933,38.91331048,318626.4303,4309236.973,AlpineSandstone,1,,Community,Supplemental
Supplemental974,-107.09456,38.91330191,318398.6222,4309241.251,AlpineSandstone,1,,Community,Supplemental
Supplemental975,-107.091498,38.91278829,318662.8195,4309178.152,AlpineSandstone,1,,Community,Supplemental
Supplemental976,-107.091143,38.9132861,318694.8689,4309232.695,AlpineSandstone,1,,Community,Supplemental
Supplemental977,-107.090416,38.91289441,318756.9101,4309187.778,AlpineSandstone,1,,Community,Supplemental
Supplemental978,-107.089081,38.91280268,318872.4348,4309174.944,AlpineSandstone,1,,Community,Supplemental
Supplemental979,-107.089672,38.91233921,318820.0101,4309124.68,AlpineSandstone,1,,Community,Supplemental
Supplemental980,-107.090919,38.91364664,318715.2095,4309272.264,AlpineSandstone,1,,Community,Supplemental
Supplemental981,-107.091742,38.91394025,318644.5954,4309306.488,AlpineSandstone,1,,Community,Supplemental
Supplemental982,-107.092088,38.91396296,318614.652,4309309.697,AlpineSandstone,1,,Community,Supplemental
Supplemental983,-107.093219,38.91426067,318517.3429,4309344.989,AlpineSandstone,1,,Community,Supplemental
Supplemental984,-107.093824,38.91384511,318463.8251,4309300.072,AlpineSandstone,1,,Community,Supplemental
Supplemental985,-107.095152,38.91329129,318347.263,4309241.252,AlpineSandstone,1,,Community,Supplemental
Supplemental986,-107.096605,38.91239794,318218.9938,4309144.999,AlpineSandstone,1,,Community,Supplemental
Supplemental987,-107.096034,38.91183004,318267.0567,4309080.833,AlpineSandstone,1,,Community,Supplemental
Supplemental988,-107.094277,38.91207357,318420.0296,4309104.36,AlpineSandstone,1,,Community,Supplemental
Supplemental989,-107.093527,38.91216411,318485.2937,4309112.915,AlpineSandstone,1,,Community,Supplemental
Supplemental990,-107.093921,38.91297611,318453.1993,4309203.819,AlpineSandstone,1,,Community,Supplemental
Supplemental991,-107.090591,38.91337309,318742.954,4309241.252,AlpineSandstone,1,,Community,Supplemental
Supplemental992,-107.087699,38.91445591,318996.4698,4309355.683,AlpineSandstone,1,,Community,Supplemental
Supplemental993,-107.087479,38.91450803,319015.678,4309361.031,AlpineSandstone,1,,Community,Supplemental
Supplemental994,-107.086802,38.91246765,319069.1963,4309133.235,AlpineSandstone,1,,Community,Supplemental
Supplemental995,-107.086944,38.91266748,319057.391,4309155.695,AlpineSandstone,1,,Community,Supplemental
271,-107.038356,38.97936224,323436.0645,4316462.497,AlpineShale,2,,Community,MeadowPlot
275,-107.0376904,38.97918486,323493.2773,4316441.52,AlpineShale,2,,Community,MeadowPlot
Supplemental333,-107.041501,38.97880693,323162.2329,4316406.97,AlpineShale,2,,Community,Supplemental
Supplemental334,-107.042031,38.97926508,323117.4598,4316458.848,AlpineShale,2,,Community,Supplemental
Supplemental335,-107.040647,38.97790533,323233.9714,4316305.247,AlpineShale,2,,Community,Supplemental
Supplemental336,-107.040006,38.9778524,323289.3698,4316298.129,AlpineShale,2,,Community,Supplemental
Supplemental337,-107.039833,38.97940436,323308.2158,4316470.038,AlpineShale,2,,Community,Supplemental
Supplemental338,-107.03951,38.98002408,323337.7376,4316538.191,AlpineShale,2,,Community,Supplemental
Supplemental339,-107.042628,38.9798412,323067.1771,4316523.949,AlpineShale,2,,Community,Supplemental
Supplemental340,-107.041886,38.97792031,323126.6738,4316309.316,AlpineShale,2,,Community,Supplemental
Supplemental341,-107.041366,38.97758114,323170.8776,4316270.663,AlpineShale,2,,Community,Supplemental
Supplemental342,-107.040334,38.97763585,323260.4165,4316274.731,AlpineShale,2,,Community,Supplemental
Supplemental343,-107.040172,38.97752869,323274.1841,4316262.524,AlpineShale,2,,Community,Supplemental
Supplemental344,-107.041187,38.97850996,323188.6955,4316373.401,AlpineShale,2,,Community,Supplemental
Supplemental345,-107.040873,38.97883624,323216.7089,4316409.004,AlpineShale,2,,Community,Supplemental
Supplemental346,-107.04063,38.97916586,323238.5797,4316445.115,AlpineShale,2,,Community,Supplemental
Supplemental347,-107.046314,38.98407971,322758.44,4317001.533,AlpineShale,2,,Community,Supplemental
Supplemental348,-107.046183,38.98440738,322770.605,4317037.645,AlpineShale,2,,Community,Supplemental
Supplemental349,-107.045608,38.98401419,322819.4323,4316992.887,AlpineShale,2,,Community,Supplemental
Supplemental350,-107.045659,38.98355045,322813.858,4316941.518,AlpineShale,2,,Community,Supplemental
Supplemental351,-107.044076,38.98343155,322950.6866,4316925.242,AlpineShale,2,,Community,Supplemental
Supplemental352,-107.044152,38.98361353,322944.5567,4316945.587,AlpineShale,2,,Community,Supplemental
